College Name,Latitude,Longitude,Global Rank,Number of Students,Teaching Score,Research Score,Courses They Offer,Location,Description
"University of California, Davis (UC Davis) Sacramento campus",38.53834127,-121.7608971,67,35000,85,90,"Medicine, Veterinary, Sciences, Engineering, Humanities",Sacramento,A major public research university known for its medical and veterinary schools.
"California State University, Sacramento (Sacramento State)",38.56497699,-121.4278078,1001,31000,70,60,"Business, Education, Engineering, Health Sciences, Arts",Sacramento,"A large public university known for its strong programs in business, education, and engineering."
American River College,38.65137846,-121.3468243,N/A,30000,60,30,"General Education, Vocational Training, Associate Degrees",Sacramento,A public community college offering a range of academic and vocational programs.
Cosumnes River College,38.45421315,-121.4227055,N/A,14000,60,30,"General Education, Vocational Training, Associate Degrees",Sacramento,A public community college offering a variety of academic and vocational programs.
Sacramento City College,38.54197068,-121.4882671,N/A,20000,60,30,"General Education, Vocational Training, Associate Degrees",Sacramento,A public community college offering a variety of academic and vocational programs.
"University of the Pacific, Sacramento Campus",38.54894356,-121.4725796,N/A,600,70,50,"Law, Health Sciences",Sacramento,A private university offering law and health sciences programs.
National University “ Sacramento Campus,38.59268075,-121.2797374,N/A,1000,60,40,"Business, Education, Health Sciences, Technology",Sacramento,"A private, nonprofit university offering various degree programs."
University of San Francisco “ Sacramento Campus,38.60324557,-121.5166259,N/A,500,70,50,"Business, Education, Health Sciences",Sacramento,A private Catholic university offering various undergraduate and graduate programs.
Epic Bible College,38.64546581,-121.3627452,N/A,300,60,30,"Biblical Studies, Ministry",Sacramento,A private Christian college offering biblical studies and ministry training.
MTI College,38.66163616,-121.3423828,N/A,500,60,30,"Business, Healthcare, Legal, IT",Sacramento,A private college offering vocational training programs.
Carrington College “ Sacramento,38.55594984,-121.3713884,N/A,800,60,30,"Healthcare, Nursing, Dental Assisting",Sacramento,A private college specializing in healthcare education.
Lincoln Law School of Sacramento,38.57237525,-121.4640567,N/A,300,65,40,Law,Sacramento,A private law school offering J.D. degrees.
Alliant International University,38.61353406,-121.5093367,N/A,1500,60,40,"Psychology, Education, Business, Law",Sacramento,"A private university offering undergraduate and graduate programs in psychology, education, business, and law."
California Northstate University College of Pharmacy,38.40571592,-121.4812269,N/A,500,65,50,Pharmacy,Sacramento,"A private university specializing in healthcare education, particularly pharmacy programs."
California School of Professional Psychology,37.80481252,-122.2704117,N/A,300,70,60,Psychology,Sacramento,A private graduate school offering psychology programs.
City Seminary of Sacramento,38.53634735,-121.4924896,N/A,100,60,40,Theology,Sacramento,A private seminary offering theological education.
Drexel University Sacramento,39.9566456,-75.18992264,N/A,300,65,50,"Business, Education, Technology",Sacramento,A private university offering various graduate programs.
Folsom Lake College,38.66159932,-121.1270906,N/A,18000,60,30,"General Education, Vocational Training, Associate Degrees","Folsom, CA",A public community college offering a range of academic and vocational programs.
Fuller Theological Seminary,34.15187061,-118.1355835,N/A,200,60,40,Theology,Los Angeles,A private seminary offering theological education.
Hawkins' School of Performing Arts,38.65710496,-121.1843384,N/A,100,60,40,Performing Arts,Sacramento,A private performing arts school offering training in various disciplines.
Los Rios Community College District,38.59117046,-121.4197516,N/A,75000,60,30,"General Education, Vocational Training, Associate Degrees",Sacramento,A public community college district serving the Sacramento area with multiple campuses.
Pacific McGeorge School of Law,38.54932616,-121.4727349,N/A,500,70,60,Law,Sacramento,A private law school offering JD and LLM programs.
National University (California),38.59267089,-121.2797667,N/A,10000,60,50,Various undergraduate and graduate programs,Sacramento,A private university offering undergraduate and graduate programs.
University of the Pacific (United States),38.54903159,-121.4726388,N/A,6000,70,60,Various undergraduate and graduate programs,"Stockton, CA",A private university offering undergraduate and graduate programs.
California School of Professional Psycholog,37.80488034,-122.2705619,N/A,200,60,40,Psychology,Sacramento,A private graduate school offering psychology programs.
Sacramento City College,38.54306158,-121.4885568,N/A,25000,60,30,"General Education, Vocational Training, Associate Degrees",Sacramento,A public community college offering a range of academic and vocational programs.
"California State University, Sacramento",38.564761,-121.4276386,N/A,300,60,50,"Business, Education, Technology",Sacramento,A private university offering undergraduate and graduate programs.
San Joaquin Valley College,38.595425,-121.2831932,N/A,1000,60,30,"Business, Healthcare, Technology",Sacramento,A private college offering vocational training programs.
University of San Francisco,37.77672526,-122.450697,N/A,10000,70,60,"Business, Education, Health Sciences, Arts","San Francisco, CA",A private university offering undergraduate and graduate programs.
"Western Seminary, Sacramento",38.81353937,-121.2826088,N/A,500,60,40,Theology,Sacramento,A private seminary offering theological education.
"University of California, Santa Barbara (UCSB)",34.4133,-119.8489,146,26000,90,95,"Engineering, Business, Arts, Sciences, Education, Humanities",Santa Barbara,A major public research university known for its academic excellence and vibrant campus life.
Santa Barbara City College (SBCC),34.40523472,-119.6992143,N/A,17000,70,30,"General Education, Vocational Training, Associate Degrees",Santa Barbara,A highly ranked public community college.
Westmont College,34.44899242,-119.6610997,N/A,1300,75,50,"Liberal Arts, Sciences, Business, Education",Santa Barbara,A private liberal arts college with a Christian focus.
Antioch University Santa Barbara,34.40628999,-119.6970603,N/A,300,65,40,"Psychology, Business, Education, Liberal Studies",Santa Barbara,A private university offering undergraduate and graduate programs.
Fielding Graduate University,34.42935554,-119.7175714,N/A,1000,70,50,"Psychology, Education, Organizational Development",Santa Barbara,"A private institution offering graduate programs in psychology, education, and organizational development."
Pacifica Graduate Institute,34.42244301,-119.5807075,N/A,600,65,45,"Psychology, Humanities",Santa Barbara,A private graduate school specializing in psychology and the humanities.
Allan Hancock College,34.94465727,-120.4189337,N/A,11500,65,30,"General Education, Vocational Training, Associate Degrees",Santa Maria,A public community college offering a range of academic and vocational programs.
College of Creative Studies,34.41144999,-119.8458094,N/A,400,75,80,"Creative Studies, Arts, Sciences",Santa Barbara,"A small, selective college within UCSB that provides a rigorous, accelerated program for students who want to focus on their own creative and research interests."
Southern California Institute of Law,34.42653479,-119.7094876,N/A,N/A,60,30,Law,Santa Barbara,A private law school offering J.D. and law-related degrees.
Stanford University,37.42768556,-122.1700385,2,16000,95,98,"Engineering, Business, Law, Medicine, Humanities, Sciences",Stanford,"Stanford University is a world-renowned private research university known for its strength in science, engineering, and business."
San Jose State University (SJSU),37.3352983,-121.8811144,801,36000,70,50,"Engineering, Business, Arts, Sciences, Education, Humanities",San Jose,San Jose State University (SJSU) is a major public university in San Jose and part of the California State University (CSU) system.
San Jose City College,37.31481209,-121.9271879,N/A,10000,60,20,"General Education, Vocational Training, Associate Degrees",San Jose,San Jose City College is a public community college in San Jose.
Evergreen Valley College,37.30130662,-121.7650685,N/A,8500,60,20,"General Education, Vocational Training, Associate Degrees",San Jose,Evergreen Valley College is a public community college in San Jose.
West Valley College,37.26352793,-122.0099849,N/A,9000,60,20,"General Education, Vocational Training, Associate Degrees",San Jose,"West Valley College is a public community college located in Saratoga, serving the San Jose area."
Santa Clara University,37.34912167,-121.9367268,802,8900,75,50,"Business, Engineering, Law, Arts, Sciences, Education",San Jose,Santa Clara University is a private Jesuit university in nearby Santa Clara.
University of Silicon Valley,37.41405676,-121.9407246,N/A,600,65,30,"Digital Art, Engineering, Entrepreneurship",San Jose,"Cogswell College is a private college offering programs in digital art, engineering, and entrepreneurship."
Carrington College,37.2482333,-121.7771886,N/A,2000,60,25,"Healthcare, Nursing, Medical Assisting, Dental Hygiene",San Jose,Carrington College is a private institution offering healthcare programs.
Silicon Valley University,37.40038921,-121.8942341,N/A,500,55,20,"Computer Science, Business, Engineering",San Jose,Silicon Valley University was a private institution offering programs in technology and business.
"University of Phoenix, Bay Area Campus",37.40890088,-121.9439974,N/A,N/A,60,30,"Business, Education, Health Sciences, Technology",San Jose,University of Phoenix offers various online and on-campus degree programs.
Lincoln Law School of San Jose,37.33102737,-121.8850063,N/A,200,65,30,Law,San Jose,Lincoln Law School of San Jose is a private law school offering J.D. and other law-related degrees.
Franklin University,39.95852318,-82.99029778,N/A,N/A,60,20,"Business, Education, Healthcare, Technology",San Jose,Franklin University offers a variety of undergraduate and graduate degree programs primarily online.
Palo Alto University,37.38264155,-122.18747,N/A,1000,70,40,"Psychology, Counseling, Business",Palo Alto,Palo Alto University is a private university specializing in psychology and counseling.
San Francisco Bay University,37.48594423,-121.9279778,N/A,N/A,60,20,"Business, Engineering, Computer Science",San Jose,San Francisco Bay University offers undergraduate and graduate programs in various fields.
University of East-West Medicine,37.38664884,-121.9970344,N/A,N/A,60,20,Traditional Chinese Medicine,Sunnyvale,University of East-West Medicine offers programs in traditional Chinese medicine.
Sofia University,37.43022334,-122.1088269,N/A,N/A,60,20,"Psychology, Counseling, Business",Palo Alto,Sofia University offers undergraduate and graduate programs with a focus on transformative education.
Foothill College,37.36176921,-122.1284028,N/A,15000,60,20,"General Education, Vocational Training, Associate Degrees",Los Altos Hills,Foothill College is a public community college offering a variety of academic and vocational programs.
Evergreen Valley College,37.30126395,-121.7650363,N/A,8500,60,20,"General Education, Vocational Training, Associate Degrees",San Jose,Evergreen Valley College is a public community college in San Jose.
